TransactionNo,TransactionDate,TransactionType,Location,CustomerCode,CustomerName,ItemCategory,ItemCode,ItemName,SKU,ProductAttributes,BatchNo,StockType,Cost,SaleQty,SaleBonusQty,SaleTotalQty,MRP,SaleAmount,SR_Qty,SR_BonusQty,SR_TotalQty,SR_Rate,SR_Amount,DiscountAmount,OtherCharge,VATAmount,TAXAmount,LocationAddress,CustomerAddress,CustomerBirthDate,CustomerMarriageStatus,CustomerAgeInYear,PerInvoiceAverageAmount
S-07466,17-Aug-22,Sale,Gumti,C-000384,M/S Adrita Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-23,OUT,250.00 ,15.00,0.00,15.00,940.00,14100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Nalghor Bazar, Chawddogram , Cumilla .",2-Jul-80,NO,43 Year,16099.07
S-07063,7-Aug-22,Sale,Gumti,C-000081,M/S Rafiq Veterinery Centre,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Nangolkot West Bazar, Nangolkot , Cumilla",10-Mar-84,NO,39 Year,34084.78
S-07062,7-Aug-22,Sale,Gumti,C-000079,M/S Zarif Agro Complex & Medicine Corner,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Nangolkot  West Bazar , Nangolkot, Cumilla.",24-Nov-80,NO,43 Year,34615.59
S-07061,7-Aug-22,Sale,Gumti,C-000078,M/S Abdullah Agro,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Shrifolia Bazar , Shrifolia, Peria, Nangolkot.",1-Jan-99,NO,24 Year,44851.77
S-06955,4-Aug-22,Sale,Gumti,C-000107,M/S Manik Matsho Khamar,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,6.00,0.00,6.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Uttarda, Laksam, Comilla .",6-Aug-81,NO,42 Year,65925.32
S-06948,4-Aug-22,Sale,Gumti,C-000112,M/S Maa Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Pumgoan Bazar, Monohargonj , Cumilla",13-Jun-84,NO,39 Year,30150.19
S-06871,2-Aug-22,Sale,Gumti,C-000524,M/S AL - Modina Feed,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,25.00,1.00,26.00,940.00,23500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Betua Bazar , Barura, Cumilla.",2-Apr-85,NO,38 Year,99174.18
S-06842,1-Aug-22,Sale,Gumti,C-000088,M/S Selim Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Doavanga, Shahrasti,Chandpur.",8-Nov-87,NO,36 Year,40973.09
S-06841,1-Aug-22,Sale,Gumti,C-000576,M/S Khadija Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,100.00,10.00,110.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Jagatpur, Kachua, Chandpur",15-Nov-98,NO,25 Year,73092.84
S-06777,31-Jul-22,Sale,Gumti,C-000742,M/S Mohammod Ali Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,2.00,0.00,2.00,940.00,1880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Raipur Bazar , Daudkandi , Cumilla",1-Jan-22,NO,1 Year,14491.8
S-06702,28-Jul-22,Sale,Gumti,C-000450,M/S Muslem Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,4.00,0.00,4.00,940.00,3760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Suagazi, South Sadar , Cumilla",14-Mar-71,NO,52 Year,4077.63
S-06699,28-Jul-22,Sale,Gumti,C-000732,M/S Sardar Poultry,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,3.00,0.00,3.00,940.00,2820.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Miar Bazar, Cumilla",1-Jan-22,NO,1 Year,3212.9
S-06696,28-Jul-22,Sale,Gumti,C-000081,M/S Rafiq Veterinery Centre,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Nangolkot West Bazar, Nangolkot , Cumilla",10-Mar-84,NO,39 Year,34084.78
S-06668,28-Jul-22,Sale,Gumti,C-000289,M/S Momotaj Agro,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Laksam, Cumilla.",5-Oct-79,NO,44 Year,48792.09
S-06631,27-Jul-22,Sale,Gumti,C-000505,M/S Arafat Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Birashar bus stand, Sadar, B-Baria",6-Feb-02,NO,21 Year,17856.07
S-06619,27-Jul-22,Sale,Gumti,C-000084,M/S Nobin Boron Medical Hall,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Alekharchor , Borichong , Cumilla",5-Mar-79,NO,44 Year,36274.7
S-06615,27-Jul-22,Sale,Gumti,C-000085,M/S Modern Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Laksham Road, Nangolkot Bazar, Nangolkot , Cumilla .",19-Sep-74,NO,49 Year,52438.55
S-06580,26-Jul-22,Sale,Gumti,C-000567,M/S Poyelgacha Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Poyelgacha, Barura , Cumilla",15-Oct-79,NO,44 Year,33208.17
S-06552,26-Jul-22,Sale,Gumti,C-000567,M/S Poyelgacha Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Poyelgacha, Barura , Cumilla",15-Oct-79,NO,44 Year,33208.17
S-06532,25-Jul-22,Sale,Gumti,C-000002,M/S U.F Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-04,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Jhalam, Barura, Cumilla.",2-Mar-76,NO,47 Year,52584.81
S-06189,7-Jul-22,Sale,Gumti,C-000085,M/S Modern Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,6.00,0.00,6.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Laksham Road, Nangolkot Bazar, Nangolkot , Cumilla .",19-Sep-74,NO,49 Year,52438.55
S-04247,15-May-22,Sale,Gumti,C-000107,M/S Manik Matsho Khamar,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,3.00,0.00,3.00,940.00,2820.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Uttarda, Laksam, Comilla .",6-Aug-81,NO,42 Year,65925.32
S-03977,8-May-22,Sale,Gumti,C-000107,M/S Manik Matsho Khamar,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Uttarda, Laksam, Comilla .",6-Aug-81,NO,42 Year,65925.32
S-03894,28-Apr-22,Sale,Gumti,C-000675,M/S Malek Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO1-07-22,OUT,250.00 ,100.00,12.00,112.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Koilan Bazar , Chandina, Cumilla",17-Mar-72,NO,51 Year,37798.57
S-03854,27-Apr-22,Sale,Gumti,C-000078,M/S Abdullah Agro,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Shrifolia Bazar , Shrifolia, Peria, Nangolkot.",1-Jan-99,NO,24 Year,44851.77
S-03851,27-Apr-22,Sale,Gumti,C-000348,M/S Nazir Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,GA-002,OUT,1.00 ,60.00,0.00,60.00,940.00,56400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Thakur Bazar , Shahrasti, Chandpur .",2-Feb-91,NO,32 Year,38978.26
S-03851,27-Apr-22,Sale,Gumti,C-000348,M/S Nazir Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,0.00,5.00,5.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Thakur Bazar , Shahrasti, Chandpur .",2-Feb-91,NO,32 Year,38978.26
S-03806,26-Apr-22,Sale,Gumti,C-000567,M/S Poyelgacha Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Poyelgacha, Barura , Cumilla",15-Oct-79,NO,44 Year,33208.17
S-03786,26-Apr-22,Sale,Gumti,C-000243,M/S Bhuiyan Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Shuvopur Bazar , Bokshogonj , Nangolkot , Cumilla.",4-May-60,NO,63 Year,39962.08
S-03740,25-Apr-22,Sale,Gumti,C-000447,M/S Haji Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,6.00,0.00,6.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Adomsar , Barura, Cumilla.",16-Apr-76,NO,47 Year,6203.3
S-03699,24-Apr-22,Sale,Gumti,C-000049,M/S Khan Brothers,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,100.00,12.00,112.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Shahpur , Faridgonj , Chandpur .",11-Jan-86,NO,37 Year,68059.97
S-03698,24-Apr-22,Sale,Gumti,C-000040,M/S Farida Yesmin Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,100.00,12.00,112.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Karoya, Faridgonj, Chandpur",1-Jan-62,NO,61 Year,91098.22
S-03653,23-Apr-22,Sale,Gumti,C-000382,M/S Chandina Medical Hall,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO10422,OUT,1.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Mohonpur, Laksham Road,   South Sadar, Cumilla","Chandina , Cumilla",21-Jul-54,NO,69 Year,26223.35
S-18337,25-Oct-23,Sale,Karatoa,C-000718,M/S Rakib Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Mondol Para,Ponduria,Akkelpur,Joypurhat.",13-Jul-92,NO,31 Year,12769.91
S-18264,19-Oct-23,Sale,Karatoa,C-000613,M/S LR Feed Corner,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Dolbanga,Gaindha.",10-Oct-82,NO,41 Year,9716.16
S-18252,18-Oct-23,Sale,Karatoa,C-000579,M/S Vai Vai Motsho Khamar-Shibganj,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,150.00,1.00,151.00,940.00,141000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Laldho,Bihar,Shibganj , Bogura.",9-Jul-82,NO,41 Year,46446.29
S-18252,18-Oct-23,Sale,Karatoa,C-000579,M/S Vai Vai Motsho Khamar-Shibganj,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,0.00,16.00,16.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Laldho,Bihar,Shibganj , Bogura.",9-Jul-82,NO,41 Year,46446.29
S-18217,16-Oct-23,Sale,Karatoa,C-000023,M/S Momota & Lamia  Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Soli banani Bazar,Salanga,Ullapara,Sirajganj",2-Jan-89,NO,34 Year,33469.75
S-18105,10-Oct-23,Sale,Karatoa,C-000552,M/S Kohili Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,40.00,0.00,40.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Aruil, Maloncha, durgapur Road, Kahalu, Bogura",8-Jan-84,NO,39 Year,55814.68
S-18105,10-Oct-23,Sale,Karatoa,C-000552,M/S Kohili Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,0.00,3.00,3.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Aruil, Maloncha, durgapur Road, Kahalu, Bogura",8-Jan-84,NO,39 Year,55814.68
S-18030,7-Oct-23,Sale,Karatoa,C-000435,M/S  Rayhan Traders (Niyamatpur),Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Kharibari,Niyamatpur,Naogaon.",12-Jan-80,YES,43 Year,17187.23
S-17983,4-Oct-23,Sale,Karatoa,C-001033,M/S Errum Trade International,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,60.00,0.00,60.00,940.00,56400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Pacshira Bazar, Kalai,Joypurhat.",1-Jan-87,YES,36 Year,19585.23
S-17983,4-Oct-23,Sale,Karatoa,C-001033,M/S Errum Trade International,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,0.00,3.00,3.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Pacshira Bazar, Kalai,Joypurhat.",1-Jan-87,YES,36 Year,19585.23
S-17983,4-Oct-23,Sale,Karatoa,C-001033,M/S Errum Trade International,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,0.00,2.00,2.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Pacshira Bazar, Kalai,Joypurhat.",1-Jan-87,YES,36 Year,19585.23
S-17922,3-Oct-23,Sale,Karatoa,C-000691,M/S Asraful Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,7.00,0.00,7.00,940.00,6580.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Kawrail Bazar,Tarash,Sirajganj.",27-Sep-63,NO,60 Year,8296.2
S-17827,1-Oct-23,Sale,Karatoa,C-001084,M/S Rahim Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,9.00,0.00,9.00,940.00,8460.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Bibirpukur, Kahalu, Bogura.",3-Apr-80,NO,43 Year,9743.27
S-17701,23-Sep-23,Sale,Karatoa,C-000964,M/S Maa Motsho Khamar,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,20.00,0.00,20.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Joy Basuya,Maslimganj.",1-Jan-90,NO,33 Year,18964.46
S-17701,23-Sep-23,Sale,Karatoa,C-000964,M/S Maa Motsho Khamar,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,0.00,1.00,1.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Joy Basuya,Maslimganj.",1-Jan-90,NO,33 Year,18964.46
S-17619,19-Sep-23,Sale,Karatoa,C-001084,M/S Rahim Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,2.00,0.00,2.00,940.00,1880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Bibirpukur, Kahalu, Bogura.",3-Apr-80,NO,43 Year,9743.27
S-17487,12-Sep-23,Sale,Karatoa,C-000436,M/S Vai Bon Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,20.00,0.00,20.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Modhuil Bazar,Patnitola,Naogaon.",1-Mar-81,YES,42 Year,80970.66
S-17487,12-Sep-23,Sale,Karatoa,C-000436,M/S Vai Bon Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,0.00,1.00,1.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Modhuil Bazar,Patnitola,Naogaon.",1-Mar-81,YES,42 Year,80970.66
S-17485,12-Sep-23,Sale,Karatoa,C-000037,M/S Rabeya Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Matajihat,Mohadevpur,Naogaon.",6-Apr-67,YES,56 Year,84964.42
S-17370,7-Sep-23,Sale,Karatoa,C-001080,M/S Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Ponot Bazar, Kali, Joypurhat.",26-Nov-80,YES,43 Year,22910.08
S-17365,7-Sep-23,Sale,Karatoa,C-000844,M/S Arobi Agro Farm,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Chairman Super Market,Dabir Gonj Bazar, Ullapara, Sirajganj",1-Jan-91,NO,32 Year,26196.34
S-17364,7-Sep-23,Sale,Karatoa,C-000024,M/S Talukder Traders-Sirajganj,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-08-23,OUT,250.00 ,100.00,0.00,100.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Salanga Bazar,Raygonj,Sirajgonj",10-Oct-80,NO,43 Year,91434.24
S-17364,7-Sep-23,Sale,Karatoa,C-000024,M/S Talukder Traders-Sirajganj,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,0.00,3.00,3.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Salanga Bazar,Raygonj,Sirajgonj",10-Oct-80,NO,43 Year,91434.24
S-17364,7-Sep-23,Sale,Karatoa,C-000024,M/S Talukder Traders-Sirajganj,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,0.00,8.00,8.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Salanga Bazar,Raygonj,Sirajgonj",10-Oct-80,NO,43 Year,91434.24
S-17337,7-Sep-23,Sale,Karatoa,C-000063,M/S Noman Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,100.00,6.00,106.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Kahaloo Bazar,Station Road,Kahaloo,Bogura",20-Sep-79,NO,44 Year,189769.71
S-17266,5-Sep-23,Sale,Karatoa,C-000452,M/S Gowrob Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,50.00,0.00,50.00,940.00,47000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Chapapur,Adomdighi,Bogura",5-Dec-81,YES,42 Year,127263.04
S-17266,5-Sep-23,Sale,Karatoa,C-000452,M/S Gowrob Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,0.00,6.00,6.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Chapapur,Adomdighi,Bogura",5-Dec-81,YES,42 Year,127263.04
S-17234,5-Sep-23,Sale,Karatoa,C-000897,M/S Sugon Motcho Khamer,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Chondihera,Shibganj,Bogura.",6-Jun-86,NO,37 Year,49090.35
S-17221,4-Sep-23,Sale,Karatoa,C-000579,M/S Vai Vai Motsho Khamar-Shibganj,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,100.00,0.00,100.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Laldho,Bihar,Shibganj , Bogura.",9-Jul-82,NO,41 Year,46446.29
S-17221,4-Sep-23,Sale,Karatoa,C-000579,M/S Vai Vai Motsho Khamar-Shibganj,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,0.00,11.00,11.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Laldho,Bihar,Shibganj , Bogura.",9-Jul-82,NO,41 Year,46446.29
S-16913,24-Aug-23,Sale,Karatoa,C-001033,M/S Errum Trade International,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Pacshira Bazar, Kalai,Joypurhat.",1-Jan-87,YES,36 Year,19585.23
S-16892,23-Aug-23,Sale,Karatoa,C-000023,M/S Momota & Lamia  Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Baropur Bisshoroad, Nungola, Bogura","Soli banani Bazar,Salanga,Ullapara,Sirajganj",2-Jan-89,NO,34 Year,33469.75
